"yc_id","name","slug","batch","status","launched_at","website","yc_profile_url"
"30250","10x","10x","W25","Active","2025-01-06T04:34:04.000Z","https://www.10xdental.com/","https://www.ycombinator.com/companies/10x"
"30223","a0.dev","a0-dev","W25","Active","2025-01-19T23:00:18.000Z","https://a0.dev","https://www.ycombinator.com/companies/a0-dev"
"30221","A1Zap by A1Base","a1zap-by-a1base","W25","Active","2025-02-21T03:50:34.000Z","https://www.a1zap.com/","https://www.ycombinator.com/companies/a1zap-by-a1base"
"30234","Adam","adam","W25","Active","2025-01-16T19:49:52.000Z","https://adam.new/","https://www.ycombinator.com/companies/adam"
"30303","AfterQuery","afterquery","W25","Active","2025-01-30T06:50:47.000Z","https://afterquery.com","https://www.ycombinator.com/companies/afterquery"
"30278","Agentin AI","agentin-ai","W25","Active","2025-02-20T06:29:06.000Z","https://www.agentin.ai","https://www.ycombinator.com/companies/agentin-ai"
"30197","Alice.tech","alice-tech","W25","Active","2025-01-15T16:49:07.000Z","https://www.alice.tech/","https://www.ycombinator.com/companies/alice-tech"
"30222","Altrina","altrina","W25","Inactive","2025-01-06T17:41:10.000Z","https://altrina.com","https://www.ycombinator.com/companies/altrina"
"30238","Amby Health","amby-health","W25","Active","2025-02-02T01:09:15.000Z","https://tryamby.com","https://www.ycombinator.com/companies/amby-health"
"30307","Archon","archon","W25","Active","2025-01-28T20:21:16.000Z","https://archon.inc","https://www.ycombinator.com/companies/archon"
"30354","Artifact","artifact-2","W25","Active","2025-02-04T07:27:02.000Z","https://www.artifact.engineer/","https://www.ycombinator.com/companies/artifact-2"
"30298","Artificial Societies","artificial-societies","W25","Active","2025-02-18T01:45:43.000Z","https://societies.io","https://www.ycombinator.com/companies/artificial-societies"
"30355","assistant-ui","assistant-ui","W25","Active","2025-02-06T20:25:28.000Z","https://assistant-ui.com","https://www.ycombinator.com/companies/assistant-ui"
"30259","Asteroid","asteroid","W25","Active","2024-12-19T20:17:47.000Z","https://asteroid.ai","https://www.ycombinator.com/companies/asteroid"
"30202","Astro","astro","W25","Active","2025-02-17T17:31:45.000Z","https://www.astroenergy.ai/","https://www.ycombinator.com/companies/astro"
"30268","AthenaHQ","athenahq","W25","Active","2025-02-10T08:15:59.000Z","https://www.athenahq.ai","https://www.ycombinator.com/companies/athenahq"
"30199","awen","awen","W25","Active","2025-02-28T02:50:23.000Z","https://www.awen.ai/","https://www.ycombinator.com/companies/awen"
"30353","Axal","axal","W25","Active","2025-01-14T21:55:37.000Z","https://www.axal.ai/","https://www.ycombinator.com/companies/axal"
"30192","Axiom","axiom","W25","Active","2025-01-31T03:54:47.000Z","https://axiom.trade","https://www.ycombinator.com/companies/axiom"
"30240","Bezel","bezel","W25","Active","2025-08-19T15:59:14.000Z","https://www.trybezel.com/","https://www.ycombinator.com/companies/bezel"
"30177","Bild AI","bild-ai","W25","Active","2025-02-06T20:43:50.000Z","https://www.bild.ai","https://www.ycombinator.com/companies/bild-ai"
"30263","Bindwell","bindwell","W25","Active","2025-02-24T10:26:52.000Z","https://www.bindwell.ai/","https://www.ycombinator.com/companies/bindwell"
"30363","BlindPay","blindpay","W25","Active","2025-01-21T03:28:14.000Z","https://blindpay.com/","https://www.ycombinator.com/companies/blindpay"
"30334","Bluebook","bluebook","W25","Active","2025-02-13T12:34:23.000Z","https://getbluebook.com","https://www.ycombinator.com/companies/bluebook"
"30341","Browser Use","browser-use","W25","Active","2024-12-20T16:41:28.000Z","https://browser-use.com","https://www.ycombinator.com/companies/browser-use"
"30193","Bud","bud","W25","Active","2025-01-21T20:18:28.000Z","https://bud.app/","https://www.ycombinator.com/companies/bud"
"30335","Butter","butter","W25","Active","2025-01-24T19:42:18.000Z","https://butter.dev","https://www.ycombinator.com/companies/butter"
"30279","Bystreet","bystreet","W25","Active","2025-02-21T05:29:19.000Z","http://www.bystreet.com","https://www.ycombinator.com/companies/bystreet"
"30287","Calltree","calltree","W25","Active","2025-01-30T20:46:58.000Z","https://calltree.ai","https://www.ycombinator.com/companies/calltree"
"30273","Candor","candor-security","W25","Active","2025-02-20T02:12:06.000Z","https://candor.security/","https://www.ycombinator.com/companies/candor-security"
"30178","Candor","candor","W25","Active","2025-02-08T22:48:07.000Z","https://www.usecandor.ai","https://www.ycombinator.com/companies/candor"
"30239","Cardamon","cardamon","W25","Active","2025-02-19T23:59:25.000Z","https://cardamon.ai/","https://www.ycombinator.com/companies/cardamon"
"30232","careCycle","carecycle","W25","Active","2025-02-22T21:51:00.000Z","https://www.careCycle.ai","https://www.ycombinator.com/companies/carecycle"
