"yc_id","name","slug","batch","status","launched_at","website","yc_profile_url"
"32552","6thSense","6thsense","S26","Active","2026-06-26T04:49:24.000Z","https://6thsense.dev","https://www.ycombinator.com/companies/6thsense"
"33056","83 Sciences","83-sciences","S26","Active","2026-07-06T18:33:08.000Z","https://83sciences.ai","https://www.ycombinator.com/companies/83-sciences"
"32584","Aerogen Systems","aerogen-systems","S26","Active","2026-08-16T17:08:46.000Z","https://www.aerogensystems.com/","https://www.ycombinator.com/companies/aerogen-systems"
"32518","Agency Tool Company","agency-tool-company","S26","Active","2026-07-24T17:30:07.000Z","https://agencytool.com","https://www.ycombinator.com/companies/agency-tool-company"
"33250","Agent FM","agent-fm","S26","Active","2026-08-05T00:48:06.000Z","https://www.agentfm.ai/","https://www.ycombinator.com/companies/agent-fm"
"33018","Agentcard","agentcard","S26","Active","2026-06-05T18:05:46.000Z","https://agentcard.sh","https://www.ycombinator.com/companies/agentcard"
"33019","Agnost AI","agnost-ai","S26","Active","2026-07-08T03:29:35.000Z","https://agnost.ai","https://www.ycombinator.com/companies/agnost-ai"
"32619","Akon Labs","akon-labs","S26","Active","2026-08-14T01:01:21.000Z","https://akonlabs.com","https://www.ycombinator.com/companies/akon-labs"
"32621","Aktoria Robotics","aktoria-robotics","S26","Active","2026-07-16T04:20:37.000Z","https://aktoria.com/","https://www.ycombinator.com/companies/aktoria-robotics"
"32262","Alkera AI","alkera-ai","S26","Active","2026-07-10T15:39:29.000Z","https://alkera.ai","https://www.ycombinator.com/companies/alkera-ai"
"33441","Allia Health","allia-health","S26","Active","2026-08-19T19:37:55.000Z","https://allia.health/","https://www.ycombinator.com/companies/allia-health"
"32204","Alloovium","alloovium","S26","Active","2026-07-09T07:10:07.000Z","https://www.alloovium.com/en","https://www.ycombinator.com/companies/alloovium"
"32588","Almanac","almanac","S26","Active","2026-07-16T21:00:32.000Z","https://usealmanac.com","https://www.ycombinator.com/companies/almanac"
"31557","Amorphic Labs","amorphic-labs","S26","Active","2026-07-31T22:29:23.000Z","https://www.agentmuxer.com","https://www.ycombinator.com/companies/amorphic-labs"
"33315","Amulet","amulet","S26","Active","2026-07-07T05:55:22.000Z","https://amulet.so/","https://www.ycombinator.com/companies/amulet"
"31298","Applied Electrodynamics, Inc.","applied-electrodynamics-inc","S26","Active","2026-07-28T01:39:35.000Z","https://www.ae-dyn.com/","https://www.ycombinator.com/companies/applied-electrodynamics-inc"
"32749","Arbital","arbital","S26","Active","2026-08-05T01:16:57.000Z","https://www.arbital.xyz","https://www.ycombinator.com/companies/arbital"
"31216","Archal","archal","S26","Active","2026-04-20T18:17:09.000Z","https://www.archal.ai/","https://www.ycombinator.com/companies/archal"
"31184","Assemble","assemble","S26","Active","2026-07-12T22:18:44.000Z","https://www.assemble.ai/","https://www.ycombinator.com/companies/assemble"
"30653","Async","withasync","S26","Active","2025-06-25T19:18:46.000Z","https://withasync.com","https://www.ycombinator.com/companies/withasync"
"31532","Atlas Discovery","atlas-discovery","S26","Active","2026-06-23T20:40:31.000Z","https://atlasdiscovery.bio","https://www.ycombinator.com/companies/atlas-discovery"
"31257","Atlia","atlia","S26","Active","2026-07-29T05:29:13.000Z","https://www.atlia.com","https://www.ycombinator.com/companies/atlia"
"33607","Atomarine","atomarine","S26","Active","2026-07-25T16:42:55.000Z","https://atomarine.co","https://www.ycombinator.com/companies/atomarine"
"32222","Audun","audun","S26","Active","2026-08-07T09:11:50.000Z","https://audun.co","https://www.ycombinator.com/companies/audun"
"33314","Avoca Systems","avoca-systems","S26","Active","2026-07-23T21:55:16.000Z","https://avocasystems.com","https://www.ycombinator.com/companies/avoca-systems"
"33045","Axelrod","axelrod","S26","Active","2026-07-16T21:06:54.000Z","https://axelrod.live/","https://www.ycombinator.com/companies/axelrod"
"28841","Baud","baud","S26","Active","2023-07-05T05:16:16.000Z","https://baudlabs.ai","https://www.ycombinator.com/companies/baud"
"32133","Belvedir","belvedir","S26","Active","2026-07-17T20:22:34.000Z","https://belvedir.ai/","https://www.ycombinator.com/companies/belvedir"
"32161","Bernard","bernard","S26","Active","2026-08-13T23:48:22.000Z","https://bernardhq.com/","https://www.ycombinator.com/companies/bernard"
"33606","Billow AI Labs","billow-ai-labs","S26","Active","2026-07-17T22:27:47.000Z","https://thebillow.ai/","https://www.ycombinator.com/companies/billow-ai-labs"
"32200","Bizmark","bizmark","S26","Active","2026-07-17T23:41:50.000Z","https://bizmark.ai","https://www.ycombinator.com/companies/bizmark"
"32551","Bloomy","bloomy","S26","Active","2026-06-23T02:43:30.000Z","https://bloomylearning.com/","https://www.ycombinator.com/companies/bloomy"
"32197","Buildbox","buildbox","S26","Active","2026-07-28T10:46:39.000Z","https://heybuildbox.com","https://www.ycombinator.com/companies/buildbox"
"32288","Callbook AI","callbook-ai","S26","Active","2026-08-18T03:17:57.000Z","https://callbook.ai","https://www.ycombinator.com/companies/callbook-ai"
"33021","Care GP","care-gp","S26","Active","2026-06-04T10:30:41.000Z","https://caregp.com.au/","https://www.ycombinator.com/companies/care-gp"
"33046","CarSignal","carsignal","S26","Active","2026-08-02T06:55:42.000Z","https://www.trycarsignal.com","https://www.ycombinator.com/companies/carsignal"
"33673","Caution","caution","S26","Active","2026-08-03T01:15:03.000Z","https://caution.co","https://www.ycombinator.com/companies/caution"
"32520","Cerenovus","cerenovus","S26","Active","2026-06-08T06:37:10.000Z","https://www.cerenovus.ai/","https://www.ycombinator.com/companies/cerenovus"
"33055","Chromie","chromie","S26","Active","2026-08-04T23:50:06.000Z","https://chromie.dev","https://www.ycombinator.com/companies/chromie"
"32618","Click","click","S26","Active","2026-08-05T20:59:46.000Z","https://www.useclick.ai","https://www.ycombinator.com/companies/click"
"32220","COACH","ai-coach","S26","Active","2026-07-29T19:34:57.000Z","https://www.getcoach.com/","https://www.ycombinator.com/companies/ai-coach"
"33738","CoArena","coarena","S26","Active","2026-06-24T09:41:23.000Z","http://coarena.ai","https://www.ycombinator.com/companies/coarena"
"32230","Codag","codag","S26","Active","2026-05-24T03:34:41.000Z","https://codag.ai/","https://www.ycombinator.com/companies/codag"
"32814","Computable","computable","S26","Active","2026-07-21T05:45:30.000Z","https://getcomputable.com","https://www.ycombinator.com/companies/computable"
"33936","Conifer","conifer","S26","Active","2026-07-08T15:27:20.000Z","https://www.conifer.build","https://www.ycombinator.com/companies/conifer"
"32227","Context.dev","contextdev","S26","Active","2026-06-01T14:12:06.000Z","https://context.dev","https://www.ycombinator.com/companies/contextdev"
"31261","Control Seat","control-seat","S26","Active","2026-04-29T07:36:05.000Z","https://www.controlseat.com","https://www.ycombinator.com/companies/control-seat"
"33012","Cosmic Robotics","cosmic-robotics","S26","Active","2026-07-03T19:17:33.000Z","https://www.cosmicrobotics.com/","https://www.ycombinator.com/companies/cosmic-robotics"
"31268","Cova","cova","S26","Active","2026-06-22T21:03:17.000Z","https://cova.care/","https://www.ycombinator.com/companies/cova"
"32649","Daqstra","daqstra","S26","Active","2026-07-17T08:29:51.000Z","https://www.daqstra.com","https://www.ycombinator.com/companies/daqstra"
"31223","Datoric","datoric","S26","Active","2025-12-31T04:07:15.000Z","https://www.datoric.com","https://www.ycombinator.com/companies/datoric"
"33344","Dawn Industries","dawn-industries","S26","Active","2026-08-08T01:01:13.000Z","https://www.dawnxr.com","https://www.ycombinator.com/companies/dawn-industries"
"33047","Decawork","decawork","S26","Active","2026-07-28T19:07:10.000Z","https://decawork.ai/","https://www.ycombinator.com/companies/decawork"
"32206","DeepReach Inc.","deepreach-inc","S26","Active","2026-08-12T19:45:14.000Z","http://www.deepreach.ai","https://www.ycombinator.com/companies/deepreach-inc"
"32286","Definite","definite","S26","Active","2026-06-28T21:13:44.000Z","https://www.usedefinite.com","https://www.ycombinator.com/companies/definite"
"32782","Denta","denta","S26","Active","2026-06-25T17:05:43.000Z","https://denta.com","https://www.ycombinator.com/companies/denta"
"33050","Derya","derya","S26","Active","2026-07-23T20:47:07.000Z","http://usederya.com","https://www.ycombinator.com/companies/derya"
