yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value
1421,Alieo Games,,IK12,Inactive,http://www.alieogames.com/,,radema_historical,true,no_candidate,none,,,
1428,Answer.ky,,IK12,Inactive,http://answer.ky/,,radema_historical,true,no_candidate,none,,,
26824,Apprecio,,S22,Active,https://apprecio.mx/,,radema_historical,true,no_candidate,none,,,
23016,AutoProctor,,W21,Active,https://autoproctor.co,,radema_historical,true,no_candidate,none,,,
1359,BrainNook,,IK12,Inactive,http://www.brainnook.com,,radema_historical,true,no_candidate,none,,,
25699,Cera,,W22,Active,https://getcera.com,,radema_historical,true,no_candidate,none,,,
1400,Classkick,,IK12,Active,http://www.classkick.com/,,radema_historical,true,no_candidate,none,,,
1399,ClassroomIQ,,IK12,Inactive,http://www.getclassroomiq.com,,radema_historical,true,no_candidate,none,,,
1372,DSK,,IK12,Inactive,http://mytryumph.com,,radema_historical,true,no_candidate,none,,,
1355,Eleven Learning,,IK12,Inactive,https://www.elevenlearning.com,,radema_historical,true,no_candidate,none,,,
1412,Formative,,IK12,Active,http://www.goformative.com,,radema_historical,true,no_candidate,none,,,
693,Hiro Systems,,S14,Active,https://hiro.so,,radema_historical,true,no_candidate,none,,,
25530,Inedit (Brandazine),,W22,Active,https://www.ineditcorp.com,,radema_historical,true,no_candidate,none,,,
1363,InstaGrok,,IK12,Inactive,http://www.instagrok.com,,radema_historical,true,no_candidate,none,,,
13526,LabGrid,,W20,Inactive,https://www.labgrid.com,,radema_historical,true,no_candidate,none,,,
1501,LocoAI,,S16,Inactive,http://www.locoai.com,,radema_historical,true,no_candidate,none,,,
27271,Lokal,,S19,Active,https://www.getlokalapp.com,,radema_historical,true,no_candidate,none,,,
1971,Molecular Reality,,S18,Active,http://www.molecularreality.com,,radema_historical,true,no_candidate,none,,,
1393,NetClick Inc.,,IK12,Inactive,https://www.netclick.me,,radema_historical,true,no_candidate,none,,,
1427,Next Tech,,IK12,Active,https://next.tech,,radema_historical,true,no_candidate,none,,,
29487,Pico,,W24,Active,http://withpico.com,,radema_historical,true,no_candidate,none,,,
1407,Picolab,,IK12,Inactive,http://getpicolab.com,,radema_historical,true,no_candidate,none,,,
29007,ProdTrace,,S23,Active,https://www.prodtrace.com/,,radema_historical,true,no_candidate,none,,,
1420,ProjectPro,,IK12,Active,https://www.projectpro.io,,radema_historical,true,no_candidate,none,,,
1356,Remind,,IK12,Active,http://www.remind.com,,radema_historical,true,no_candidate,none,,,
1402,SchoolMint,,IK12,Acquired,http://www.schoolmint.com,,radema_historical,true,no_candidate,none,,,
1429,Sense Education,,IK12,Active,http://www.sense.education,,radema_historical,true,no_candidate,none,,,
29392,Skygaze,,W24,Active,https://www.skygaze.io,,radema_historical,true,no_candidate,none,,,
1370,Socrative,,IK12,Inactive,https://htp://www.socrative.com,,radema_historical,true,no_candidate,none,,,
1405,TeachMe,,IK12,Active,http://www.mathgames.com,,radema_historical,true,no_candidate,none,,,
27273,Terrace,,S22,Active,https://www.terrace.fi,,radema_historical,true,no_candidate,none,,,
1430,The Rumie Initiative,,IK12,Active,http://www.rumie.org,,radema_historical,true,no_candidate,none,,,
1381,Tioki,,IK12,Inactive,http://www.tioki.com,,radema_historical,true,no_candidate,none,,,
1357,TutorCloud,,IK12,Inactive,http://www.tutorcloud.com,,radema_historical,true,no_candidate,none,,,
