yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value
31118,/dev/fast,devfast,Winter 2026,Active,https://dev.fast,https://www.ycombinator.com/companies/devfast,yc_oss_current,false,unverified_candidate,yc_slug_inference,devfast,https://www.crunchbase.com/organization/devfast,
29798,&AI,ai-2,Summer 2024,Active,https://www.tryandai.com/,https://www.ycombinator.com/companies/ai-2,yc_oss_current,false,unverified_candidate,yc_slug_inference,ai-2,https://www.crunchbase.com/organization/ai-2,
192,1000Memories,1000memories,Summer 2010,Acquired,http://ancestry.com,https://www.ycombinator.com/companies/1000memories,yc_oss_current,false,unverified_candidate,yc_slug_inference,1000memories,https://www.crunchbase.com/organization/1000memories,
26861,100x,100x,Summer 2022,Active,https://100x.bot?utm_source=inbound&utm_medium=bookface&utm_campaign=yc&utm_id=122,https://www.ycombinator.com/companies/100x,yc_oss_current,false,unverified_candidate,yc_slug_inference,100x,https://www.crunchbase.com/organization/100x,
31098,10x Science,10x-science,Winter 2026,Active,https://10xscience.com,https://www.ycombinator.com/companies/10x-science,yc_oss_current,false,unverified_candidate,yc_slug_inference,10x-science,https://www.crunchbase.com/organization/10x-science,
29733,1849 bio,1849-bio,Summer 2024,Active,https://www.1849.bio,https://www.ycombinator.com/companies/1849-bio,yc_oss_current,false,unverified_candidate,yc_slug_inference,1849-bio,https://www.crunchbase.com/organization/1849-bio,
12286,1910,1910,Winter 2019,Active,http://1910.ai,https://www.ycombinator.com/companies/1910,yc_oss_current,false,unverified_candidate,yc_slug_inference,1910,https://www.crunchbase.com/organization/1910,
27906,1stCollab,1stcollab,Winter 2023,Active,https://1stcollab.com/,https://www.ycombinator.com/companies/1stcollab,yc_oss_current,false,unverified_candidate,yc_slug_inference,1stcollab,https://www.crunchbase.com/organization/1stcollab,
31123,21st,21st,Winter 2026,Active,https://21st.dev,https://www.ycombinator.com/companies/21st,yc_oss_current,false,unverified_candidate,yc_slug_inference,21st,https://www.crunchbase.com/organization/21st,
27925,222,222,Winter 2023,Active,https://222.place,https://www.ycombinator.com/companies/222,yc_oss_current,false,unverified_candidate,yc_slug_inference,222,https://www.crunchbase.com/organization/222,
742,3dot,3dot,Winter 2015,Inactive,http://3dot.com,https://www.ycombinator.com/companies/3dot,yc_oss_current,false,unverified_candidate,yc_slug_inference,3dot,https://www.crunchbase.com/organization/3dot,
1939,64x Bio,64x-bio,Summer 2018,Active,http://www.64xbio.com,https://www.ycombinator.com/companies/64x-bio,yc_oss_current,false,unverified_candidate,yc_slug_inference,64x-bio,https://www.crunchbase.com/organization/64x-bio,
32552,6thSense,6thsense,Summer 2026,Active,https://6thsense.dev,https://www.ycombinator.com/companies/6thsense,yc_oss_current,false,unverified_candidate,yc_slug_inference,6thsense,https://www.crunchbase.com/organization/6thsense,
33056,83 Sciences,83-sciences,Summer 2026,Active,https://83sciences.ai,https://www.ycombinator.com/companies/83-sciences,yc_oss_current,false,unverified_candidate,yc_slug_inference,83-sciences,https://www.crunchbase.com/organization/83-sciences,
31193,9 Mothers,9-mothers-corporation,Spring 2026,Active,https://9mothers.com,https://www.ycombinator.com/companies/9-mothers-corporation,yc_oss_current,false,unverified_candidate,yc_slug_inference,9-mothers-corporation,https://www.crunchbase.com/organization/9-mothers-corporation,
30223,a0.dev,a0-dev,Winter 2025,Active,https://a0.dev,https://www.ycombinator.com/companies/a0-dev,yc_oss_current,false,unverified_candidate,yc_slug_inference,a0-dev,https://www.crunchbase.com/organization/a0-dev,
30221,A1Zap by A1Base,a1zap-by-a1base,Winter 2025,Active,https://www.a1zap.com/,https://www.ycombinator.com/companies/a1zap-by-a1base,yc_oss_current,false,unverified_candidate,yc_slug_inference,a1zap-by-a1base,https://www.crunchbase.com/organization/a1zap-by-a1base,
1796,Aalo,aalo,Winter 2018,Inactive,http://www.aalo.co,https://www.ycombinator.com/companies/aalo,yc_oss_current,false,unverified_candidate,yc_slug_inference,aalo,https://www.crunchbase.com/organization/aalo,
24726,Abatable,abatable,Summer 2021,Active,https://www.abatable.com,https://www.ycombinator.com/companies/abatable,yc_oss_current,false,unverified_candidate,yc_slug_inference,abatable,https://www.crunchbase.com/organization/abatable,
29391,Abel,abel,Winter 2024,Inactive,https://www.tryabel.com,https://www.ycombinator.com/companies/abel,yc_oss_current,false,unverified_candidate,yc_slug_inference,abel,https://www.crunchbase.com/organization/abel,
29558,Abel Police,abel-police,Summer 2024,Active,http://abelpolice.com,https://www.ycombinator.com/companies/abel-police,yc_oss_current,false,unverified_candidate,yc_slug_inference,abel-police,https://www.crunchbase.com/organization/abel-police,
31484,AbInitio Bio,abinitio-bio,Spring 2026,Active,https://www.abinitio-bio.com,https://www.ycombinator.com/companies/abinitio-bio,yc_oss_current,false,unverified_candidate,yc_slug_inference,abinitio-bio,https://www.crunchbase.com/organization/abinitio-bio,
13340,Able,able,Winter 2020,Acquired,https://ablejobs.co/,https://www.ycombinator.com/companies/able,yc_oss_current,false,unverified_candidate,yc_slug_inference,able,https://www.crunchbase.com/organization/able,
30958,Absurd,absurd,Fall 2025,Active,https://absurd.com/,https://www.ycombinator.com/companies/absurd,yc_oss_current,false,unverified_candidate,yc_slug_inference,absurd,https://www.crunchbase.com/organization/absurd,
30078,Abundant,abundant,Fall 2024,Active,https://www.abundant.ai/,https://www.ycombinator.com/companies/abundant,yc_oss_current,false,unverified_candidate,yc_slug_inference,abundant,https://www.crunchbase.com/organization/abundant,
28786,Accend,accend,Summer 2023,Active,https://www.withaccend.com/,https://www.ycombinator.com/companies/accend,yc_oss_current,false,unverified_candidate,yc_slug_inference,accend,https://www.crunchbase.com/organization/accend,
27258,AccessOwl,accessowl,Summer 2022,Active,https://www.accessowl.io/,https://www.ycombinator.com/companies/accessowl,yc_oss_current,false,unverified_candidate,yc_slug_inference,accessowl,https://www.crunchbase.com/organization/accessowl,
13058,Accord,accord,Winter 2020,Active,https://inaccord.com,https://www.ycombinator.com/companies/accord,yc_oss_current,false,unverified_candidate,yc_slug_inference,accord,https://www.crunchbase.com/organization/accord,
30427,Acolite,acolite,Spring 2025,Active,https://acolite.ai,https://www.ycombinator.com/companies/acolite,yc_oss_current,false,unverified_candidate,yc_slug_inference,acolite,https://www.crunchbase.com/organization/acolite,
30606,Acrely,acrely,Summer 2025,Active,https://www.acrely.ai,https://www.ycombinator.com/companies/acrely,yc_oss_current,false,unverified_candidate,yc_slug_inference,acrely,https://www.crunchbase.com/organization/acrely,
12591,Actiondesk,actiondesk,Summer 2019,Acquired,https://www.actiondesk.io/,https://www.ycombinator.com/companies/actiondesk,yc_oss_current,false,unverified_candidate,yc_slug_inference,actiondesk,https://www.crunchbase.com/organization/actiondesk,
25330,Actipulse Neuroscience,actipulse-neuroscience,Winter 2022,Active,http://www.actipulseneuroscience.com,https://www.ycombinator.com/companies/actipulse-neuroscience,yc_oss_current,false,unverified_candidate,yc_slug_inference,actipulse-neuroscience,https://www.crunchbase.com/organization/actipulse-neuroscience,
29406,ACX,acx,Summer 2024,Active,https://www.acxtherapeutics.com/,https://www.ycombinator.com/companies/acx,yc_oss_current,false,unverified_candidate,yc_slug_inference,acx,https://www.crunchbase.com/organization/acx,
30234,Adam,adam,Winter 2025,Active,https://adam.new/,https://www.ycombinator.com/companies/adam,yc_oss_current,false,unverified_candidate,yc_slug_inference,adam,https://www.crunchbase.com/organization/adam,
29443,Adapted,adapted,Winter 2024,Active,https://adapted.app,https://www.ycombinator.com/companies/adapted,yc_oss_current,false,unverified_candidate,yc_slug_inference,adapted,https://www.crunchbase.com/organization/adapted,
30596,Adaptional,adaptional,Summer 2025,Active,https://www.adaptional.com/,https://www.ycombinator.com/companies/adaptional,yc_oss_current,false,unverified_candidate,yc_slug_inference,adaptional,https://www.crunchbase.com/organization/adaptional,
24505,Adaptyv,adaptyv,Summer 2021,Active,https://www.adaptyvbio.com/,https://www.ycombinator.com/companies/adaptyv,yc_oss_current,false,unverified_candidate,yc_slug_inference,adaptyv,https://www.crunchbase.com/organization/adaptyv,
30529,Adentris,adentris,Spring 2025,Active,https://www.adentris.com,https://www.ycombinator.com/companies/adentris,yc_oss_current,false,unverified_candidate,yc_slug_inference,adentris,https://www.crunchbase.com/organization/adentris,
31434,Adialante,adialante,Spring 2026,Active,http://www.adialante.com,https://www.ycombinator.com/companies/adialante,yc_oss_current,false,unverified_candidate,yc_slug_inference,adialante,https://www.crunchbase.com/organization/adialante,
12656,Adla,adla,Summer 2019,Inactive,http://tryadla.com,https://www.ycombinator.com/companies/adla,yc_oss_current,false,unverified_candidate,yc_slug_inference,adla,https://www.crunchbase.com/organization/adla,
24571,Adni,adni,Summer 2021,Active,https://www.adni.co/,https://www.ycombinator.com/companies/adni,yc_oss_current,false,unverified_candidate,yc_slug_inference,adni,https://www.crunchbase.com/organization/adni,
24819,Adravision,adravision,Summer 2021,Active,https://www.adra.ai,https://www.ycombinator.com/companies/adravision,yc_oss_current,false,unverified_candidate,yc_slug_inference,adravision,https://www.crunchbase.com/organization/adravision,
28367,Adri AI,adri-ai,Winter 2023,Active,https://www.getadri.ai/,https://www.ycombinator.com/companies/adri-ai,yc_oss_current,false,unverified_candidate,yc_slug_inference,adri-ai,https://www.crunchbase.com/organization/adri-ai,
31043,Advanced Metal Research,advanced-metal-research,Spring 2026,Active,https://advancedmetalresearch.com/,https://www.ycombinator.com/companies/advanced-metal-research,yc_oss_current,false,unverified_candidate,yc_slug_inference,advanced-metal-research,https://www.crunchbase.com/organization/advanced-metal-research,
28158,Adventris Pharmaceuticals,adventris-pharmaceuticals,Winter 2023,Active,https://adventris.com,https://www.ycombinator.com/companies/adventris-pharmaceuticals,yc_oss_current,false,unverified_candidate,yc_slug_inference,adventris-pharmaceuticals,https://www.crunchbase.com/organization/adventris-pharmaceuticals,
13413,adyn,adyn,Summer 2020,Active,https://adyn.com,https://www.ycombinator.com/companies/adyn,yc_oss_current,false,unverified_candidate,yc_slug_inference,adyn,https://www.crunchbase.com/organization/adyn,
1593,Aecore,x3-builders,Summer 2017,Active,https://www.aecore.com,https://www.ycombinator.com/companies/x3-builders,yc_oss_current,false,unverified_candidate,yc_slug_inference,x3-builders,https://www.crunchbase.com/organization/x3-builders,
29358,Aedilic,aedilic,Winter 2024,Inactive,https://www.nonescape.com,https://www.ycombinator.com/companies/aedilic,yc_oss_current,false,unverified_candidate,yc_slug_inference,aedilic,https://www.crunchbase.com/organization/aedilic,
30557,Aegis,aegis,Spring 2025,Active,https://aegishealth.us/,https://www.ycombinator.com/companies/aegis,yc_oss_current,false,unverified_candidate,yc_slug_inference,aegis,https://www.crunchbase.com/organization/aegis,
1503,Aella,aella,Winter 2017,Active,http://www.aellaapp.com,https://www.ycombinator.com/companies/aella,yc_oss_current,false,unverified_candidate,yc_slug_inference,aella,https://www.crunchbase.com/organization/aella,
