yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value,risk_categories,risk_count,risk_unverified_candidate,risk_archive_observed_candidate,risk_source_conflict,risk_url_collision,risk_invalid_source_value,risk_historical_only,risk_invalid_company_website,risk_slug_only_source,risk_sample_validation_failed,risk_sample_validation_unresolved,collision_yc_ids,conflict_datahive_url,conflict_radema_url,manual_validation_status,validated_crunchbase_url,manual_validation_note
1384,Accredible,,IK12,Active,http://www.accredible.com,,radema_historical,true,publicly_sourced,radema_cb_url,accredible,https://www.crunchbase.com/organization/accredible,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1417,AdmitSee,,IK12,Active,https://www.admitsee.com,,radema_historical,true,publicly_sourced,radema_cb_url,admitsee,https://www.crunchbase.com/organization/admitsee,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1421,Alieo Games,,IK12,Inactive,http://www.alieogames.com/,,radema_historical,true,unverified_candidate,company_name_inference,alieo-games,https://www.crunchbase.com/organization/alieo-games,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1426,Allcancode,,IK12,Active,https://www.allcancode.com,,radema_historical,true,publicly_sourced,radema_cb_url,allcancode,https://www.crunchbase.com/organization/allcancode,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1428,Answer.ky,,IK12,Inactive,http://answer.ky/,,radema_historical,true,unverified_candidate,company_name_inference,answer-ky,https://www.crunchbase.com/organization/answer-ky,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
26824,Apprecio,,S22,Active,https://apprecio.mx/,,radema_historical,true,unverified_candidate,company_name_inference,apprecio,https://www.crunchbase.com/organization/apprecio,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
23016,AutoProctor,,W21,Active,https://autoproctor.co,,radema_historical,true,unverified_candidate,company_name_inference,autoproctor,https://www.crunchbase.com/organization/autoproctor,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
27922,Berilium,berilium,Winter 2023,Active,https://berilium.com/,https://www.ycombinator.com/companies/berilium,datahive_historical,true,unverified_candidate,yc_slug_inference,berilium,https://www.crunchbase.com/organization/berilium,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1379,Blendspace,,IK12,Inactive,http://www.blendspace.com,,radema_historical,true,publicly_sourced,radema_cb_url,blendspace,https://www.crunchbase.com/organization/blendspace,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1403,Bloomboard,,IK12,Active,http://www.bloomboard.com,,radema_historical,true,publicly_sourced,radema_cb_url,bloomboard,https://www.crunchbase.com/organization/bloomboard,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1359,BrainNook,,IK12,Inactive,http://www.brainnook.com,,radema_historical,true,unverified_candidate,company_name_inference,brainnook,https://www.crunchbase.com/organization/brainnook,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1408,BrightLoop,,IK12,Inactive,http://www.brightlooplearning.com,,radema_historical,true,publicly_sourced,radema_cb_url,brightloop,https://www.crunchbase.com/organization/brightloop,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1860,Callisto,,W18,Active,https://www.projectcallisto.org,,radema_historical,true,publicly_sourced,radema_cb_url,callisto,https://www.crunchbase.com/organization/callisto,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1396,Cellabus,,IK12,Inactive,http://www.cellabus.com,,radema_historical,true,publicly_sourced,radema_cb_url,cellabus,https://www.crunchbase.com/organization/cellabus,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
25699,Cera,,W22,Active,https://getcera.com,,radema_historical,true,unverified_candidate,company_name_inference,cera,https://www.crunchbase.com/organization/cera,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1410,Chesscademy,,IK12,Inactive,http://www.chesscademy.com,,radema_historical,true,publicly_sourced,radema_cb_url,chesscademy,https://www.crunchbase.com/organization/chesscademy,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
821,Cinder,cinder,Winter 2015,Inactive,https://cindercooks.com,https://www.ycombinator.com/companies/cinder,datahive_historical,true,publicly_sourced,datahive_cb_url,palate-home,https://www.crunchbase.com/organization/palate-home,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1398,Class Central,,IK12,Active,https://www.classcentral.com/,,radema_historical,true,publicly_sourced,radema_cb_url,class-central,https://www.crunchbase.com/organization/class-central,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1361,Class Connect,,IK12,Inactive,http://www.classconnect.com,,radema_historical,true,publicly_sourced,radema_cb_url,classconnect-technologies,https://www.crunchbase.com/organization/classconnect-technologies,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1400,Classkick,,IK12,Active,http://www.classkick.com/,,radema_historical,true,unverified_candidate,company_name_inference,classkick,https://www.crunchbase.com/organization/classkick,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1399,ClassroomIQ,,IK12,Inactive,http://www.getclassroomiq.com,,radema_historical,true,unverified_candidate,company_name_inference,classroomiq,https://www.crunchbase.com/organization/classroomiq,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
961,Click & Grow,click-and-grow,Summer 2015,Active,https://www.clickandgrow.com/,https://www.ycombinator.com/companies/click-and-grow,datahive_historical,true,publicly_sourced,datahive_cb_url,click-grow,https://www.crunchbase.com/organization/click-grow,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1377,CodeHS,,IK12,Active,https://codehs.com,,radema_historical,true,publicly_sourced,radema_cb_url,codehs,https://www.crunchbase.com/organization/codehs,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
24680,Coinfeeds,,S21,Active,https://coinfeeds.io,,radema_historical,true,publicly_sourced,radema_cb_url,coinfeeds,https://www.crunchbase.com/organization/coinfeeds,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
11960,Convictional,convictional,Winter 2019,Active,https://convictional.com,https://www.ycombinator.com/companies/convictional,datahive_historical,true,publicly_sourced,datahive_cb_url,convictional,https://www.crunchbase.com/organization/convictional,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1401,DeansList,,IK12,Active,http://www.deanslistsoftware.com,,radema_historical,true,publicly_sourced,radema_cb_url,deanslist-inc,https://www.crunchbase.com/organization/deanslist-inc,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
29389,Delve,delve,Winter 2024,Active,https://delve.co/?utm_source=yc&utm_medium=bio&utm_campaign=delve,https://www.ycombinator.com/companies/delve,datahive_historical,true,unverified_candidate,yc_slug_inference,delve,https://www.crunchbase.com/organization/delve,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1374,DigitWhiz,,IK12,Active,http://www.digitwhiz.com,,radema_historical,true,publicly_sourced,radema_cb_url,digitwhiz,https://www.crunchbase.com/organization/digitwhiz,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1372,DSK,,IK12,Inactive,http://mytryumph.com,,radema_historical,true,unverified_candidate,company_name_inference,dsk,https://www.crunchbase.com/organization/dsk,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1397,Edoome,,IK12,Active,http://www.edoome.com,,radema_historical,true,publicly_sourced,radema_cb_url,edoome,https://www.crunchbase.com/organization/edoome,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1394,Edpuzzle,,IK12,Active,https://edpuzzle.com,,radema_historical,true,publicly_sourced,radema_cb_url,edpuzzle,https://www.crunchbase.com/organization/edpuzzle,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1365,edshelf,,IK12,Active,http://edshelf.com/,,radema_historical,true,publicly_sourced,radema_cb_url,edshelf,https://www.crunchbase.com/organization/edshelf,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1414,Educents,,IK12,Active,https://www.educents.com/,,radema_historical,true,publicly_sourced,radema_cb_url,educents,https://www.crunchbase.com/organization/educents,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1358,Educreations,,IK12,Active,https://www.educreations.com,,radema_historical,true,publicly_sourced,radema_cb_url,educreations,https://www.crunchbase.com/organization/educreations,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1413,Edusight,,IK12,Inactive,https://edusight.co/,,radema_historical,true,publicly_sourced,radema_cb_url,edusight,https://www.crunchbase.com/organization/edusight,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1353,Eduvant,,IK12,Active,http://www.eduvant.com,,radema_historical,true,publicly_sourced,radema_cb_url,eduvant,https://www.crunchbase.com/organization/eduvant,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1406,eduvee,,IK12,Inactive,http://www.eduvee.com,,radema_historical,true,publicly_sourced,radema_cb_url,eduvee,https://www.crunchbase.com/organization/eduvee,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1355,Eleven Learning,,IK12,Inactive,https://www.elevenlearning.com,,radema_historical,true,unverified_candidate,company_name_inference,eleven-learning,https://www.crunchbase.com/organization/eleven-learning,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1412,Formative,,IK12,Active,http://www.goformative.com,,radema_historical,true,unverified_candidate,company_name_inference,formative,https://www.crunchbase.com/organization/formative,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1395,Freckle Education,,IK12,Acquired,http://www.freckle.com,,radema_historical,true,publicly_sourced,radema_cb_url,freckle-education,https://www.crunchbase.com/organization/freckle-education,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1392,Geddit,,IK12,Inactive,http://letsgeddit.com,,radema_historical,true,publicly_sourced,radema_cb_url,geddit,https://www.crunchbase.com/organization/geddit,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
29962,General Analysis,general-analysis,Summer 2024,Active,https://generalanalysis.com,https://www.ycombinator.com/companies/general-analysis,datahive_historical,true,unverified_candidate,yc_slug_inference,general-analysis,https://www.crunchbase.com/organization/general-analysis,,unverified_candidate;historical_only,2,true,false,false,false,false,true,false,false,false,false,,,,,,
1388,GigaBryte,,IK12,Inactive,https://www.gigabryte.com/,,radema_historical,true,publicly_sourced,radema_cb_url,gigabryte,https://www.crunchbase.com/organization/gigabryte,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1354,Goalbook,,IK12,Active,http://goalbookapp.com,,radema_historical,true,publicly_sourced,radema_cb_url,goalbook,https://www.crunchbase.com/organization/goalbook,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
1368,Hapara,,IK12,Active,http://hapara.com,,radema_historical,true,publicly_sourced,radema_cb_url,hapara,https://www.crunchbase.com/organization/hapara,,historical_only,1,false,false,false,false,false,true,false,false,false,false,,,,,,
