yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value,risk_categories,risk_count,risk_unverified_candidate,risk_archive_observed_candidate,risk_source_conflict,risk_url_collision,risk_invalid_source_value,risk_historical_only,risk_invalid_company_website,risk_slug_only_source,risk_sample_validation_failed,risk_sample_validation_unresolved,collision_yc_ids,conflict_datahive_url,conflict_radema_url,manual_validation_status,validated_crunchbase_url,manual_validation_note
137,Assembled,assembled,Winter 2011,Inactive,https://,https://www.ycombinator.com/companies/assembled,yc_oss_current,false,publicly_sourced,datahive_cb_url,circle-inc,https://www.crunchbase.com/organization/circle-inc,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
323,BitSample,bitsample,Winter 2008,Inactive,,https://www.ycombinator.com/companies/bitsample,yc_oss_current,false,unverified_candidate,yc_slug_inference,bitsample,https://www.crunchbase.com/organization/bitsample,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
31285,Brumby (Formerly GrazeMate),brumby,Winter 2026,Active,https://brumby,https://www.ycombinator.com/companies/brumby,yc_oss_current,false,unverified_candidate,yc_slug_inference,brumby,https://www.crunchbase.com/organization/brumby,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
11964,Chaser,chaser,Winter 2019,Inactive,https://,https://www.ycombinator.com/companies/chaser,yc_oss_current,false,unverified_candidate,yc_slug_inference,chaser,https://www.crunchbase.com/organization/chaser,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
256,Flightcaster,flightcaster,Summer 2009,Acquired,https://,https://www.ycombinator.com/companies/flightcaster,yc_oss_current,false,publicly_sourced,datahive_cb_url,flightcaster,https://www.crunchbase.com/organization/flightcaster,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
11921,Fuzzbuzz,fuzzbuzz,Winter 2019,Acquired,https://,https://www.ycombinator.com/companies/fuzzbuzz,yc_oss_current,false,publicly_sourced,datahive_cb_url,fuzzbuzz,https://www.crunchbase.com/organization/fuzzbuzz,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
416,Grid,binary-thumb,Summer 2012,Inactive,http://,https://www.ycombinator.com/companies/binary-thumb,yc_oss_current,false,publicly_sourced,datahive_cb_url,binary-thumb,https://www.crunchbase.com/organization/binary-thumb,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
766,GroupAhead,groupahead,Winter 2015,Inactive,https://,https://www.ycombinator.com/companies/groupahead,yc_oss_current,false,publicly_sourced,datahive_cb_url,groupahead,https://www.crunchbase.com/organization/groupahead,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
569,Ixiplay,ixiplay,Summer 2013,Inactive,http://,https://www.ycombinator.com/companies/ixiplay,yc_oss_current,false,publicly_sourced,datahive_cb_url,ixi-play,https://www.crunchbase.com/organization/ixi-play,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
29102,Kips Health,kips-health,Summer 2023,Inactive,https://,https://www.ycombinator.com/companies/kips-health,yc_oss_current,false,unverified_candidate,yc_slug_inference,kips-health,https://www.crunchbase.com/organization/kips-health,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
22044,Liyfe,liyfe,Summer 2020,Active,https://,https://www.ycombinator.com/companies/liyfe,yc_oss_current,false,unverified_candidate,yc_slug_inference,liyfe,https://www.crunchbase.com/organization/liyfe,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
24136,MadEats,madeats,Summer 2021,Acquired,https://,https://www.ycombinator.com/companies/madeats,yc_oss_current,false,unverified_candidate,yc_slug_inference,madeats,https://www.crunchbase.com/organization/madeats,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
980,Magic Instruments,magic-instruments,Winter 2016,Inactive,https://,https://www.ycombinator.com/companies/magic-instruments,yc_oss_current,false,publicly_sourced,datahive_cb_url,magic-instruments,https://www.crunchbase.com/organization/magic-instruments,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
22948,MarcoPolo,marcopolo,Winter 2021,Inactive,https://,https://www.ycombinator.com/companies/marcopolo,yc_oss_current,false,unverified_candidate,yc_slug_inference,marcopolo,https://www.crunchbase.com/organization/marcopolo,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
382,Mixed Media Labs,mixed-media-labs,Winter 2010,Inactive,https://,https://www.ycombinator.com/companies/mixed-media-labs,yc_oss_current,false,publicly_sourced,datahive_cb_url,picplz,https://www.crunchbase.com/organization/picplz,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
23185,Mythia,mythia,Winter 2021,Inactive,https://,https://www.ycombinator.com/companies/mythia,yc_oss_current,false,unverified_candidate,yc_slug_inference,mythia,https://www.crunchbase.com/organization/mythia,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
1553,No Lean Season,no-lean-season,Winter 2017,Inactive,http://,https://www.ycombinator.com/companies/no-lean-season,yc_oss_current,false,unverified_candidate,yc_slug_inference,no-lean-season,https://www.crunchbase.com/organization/no-lean-season,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
13076,Nugget,nugget,Winter 2020,Inactive,https://,https://www.ycombinator.com/companies/nugget,yc_oss_current,false,unverified_candidate,yc_slug_inference,nugget,https://www.crunchbase.com/organization/nugget,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
29124,Onward,onward,Summer 2023,Inactive,https://,https://www.ycombinator.com/companies/onward,yc_oss_current,false,unverified_candidate,yc_slug_inference,onward,https://www.crunchbase.com/organization/onward,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
13159,Openbase,openbase,Summer 2020,Inactive,https://,https://www.ycombinator.com/companies/openbase,yc_oss_current,false,publicly_sourced,radema_cb_url,openbase,https://www.crunchbase.com/organization/openbase,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
27823,Overflux,overflux,Winter 2023,Inactive,https://,https://www.ycombinator.com/companies/overflux,yc_oss_current,false,unverified_candidate,yc_slug_inference,overflux,https://www.crunchbase.com/organization/overflux,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
437,Partnered,partnered,Summer 2012,Inactive,https://,https://www.ycombinator.com/companies/partnered,yc_oss_current,false,publicly_sourced,datahive_cb_url,partnered,https://www.crunchbase.com/organization/partnered,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
280,PetaSales,petasales,Winter 2009,Inactive,http://,https://www.ycombinator.com/companies/petasales,yc_oss_current,false,publicly_sourced,datahive_cb_url,petasales,https://www.crunchbase.com/organization/petasales,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
12067,PNOĒ,pnoe,Winter 2019,Active,https://,https://www.ycombinator.com/companies/pnoe,yc_oss_current,false,publicly_sourced,datahive_cb_url,pnoe,https://www.crunchbase.com/organization/pnoe,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
22738,Pragmatic Leaders (Ankai Inc),pragmatic-leaders-ankai-inc,Winter 2021,Active,"https://pragmaticleaders.io, https://ostronaut.com",https://www.ycombinator.com/companies/pragmatic-leaders-ankai-inc,yc_oss_current,false,unverified_candidate,yc_slug_inference,pragmatic-leaders-ankai-inc,https://www.crunchbase.com/organization/pragmatic-leaders-ankai-inc,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
1589,Prism Labs,prism-labs,Summer 2017,Inactive,https://,https://www.ycombinator.com/companies/prism-labs,yc_oss_current,false,publicly_sourced,datahive_cb_url,prism-io,https://www.crunchbase.com/organization/prism-io,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
27085,Roforco,roforco,Summer 2022,Active,https://,https://www.ycombinator.com/companies/roforco,yc_oss_current,false,publicly_sourced,radema_cb_url,roforco,https://www.crunchbase.com/organization/roforco,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
31280,Rubric AI,rubric-ai,Winter 2026,Active,,https://www.ycombinator.com/companies/rubric-ai,yc_oss_current,false,unverified_candidate,yc_slug_inference,rubric-ai,https://www.crunchbase.com/organization/rubric-ai,,unverified_candidate;invalid_company_website,2,true,false,false,false,false,false,true,false,false,false,,,,,,
857,Shasqi,shasqi,Winter 2015,Active,https://,https://www.ycombinator.com/companies/shasqi,yc_oss_current,false,publicly_sourced,datahive_cb_url,shasqi,https://www.crunchbase.com/organization/shasqi,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
736,Sliced Investing,sliced-investing,Summer 2014,Acquired,https://,https://www.ycombinator.com/companies/sliced-investing,yc_oss_current,false,publicly_sourced,datahive_cb_url,slicedinvesting,https://www.crunchbase.com/organization/slicedinvesting,,invalid_company_website,1,false,false,false,false,false,false,true,false,false,false,,,,,,
