yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value,risk_categories,risk_count,risk_unverified_candidate,risk_archive_observed_candidate,risk_source_conflict,risk_url_collision,risk_invalid_source_value,risk_historical_only,risk_invalid_company_website,risk_slug_only_source,risk_sample_validation_failed,risk_sample_validation_unresolved,collision_yc_ids,conflict_datahive_url,conflict_radema_url,manual_validation_status,validated_crunchbase_url,manual_validation_note
72,Apollo,apollo,Summer 2011,Active,http://apollographql.com/,https://www.ycombinator.com/companies/apollo,yc_oss_current,false,publicly_sourced,datahive_cb_url,meteor,https://www.crunchbase.com/organization/meteor,,url_collision,1,false,false,false,true,false,false,false,false,false,false,30602;72,,,,,
30202,Astro,astro,Winter 2025,Active,https://www.astroenergy.ai/,https://www.ycombinator.com/companies/astro,yc_oss_current,false,unverified_candidate,yc_slug_inference,astro,https://www.crunchbase.com/organization/astro,,unverified_candidate;url_collision,2,true,false,false,true,false,false,false,false,false,false,24603;30202,,,,,
284,Cloudant,cloudant,Summer 2008,Acquired,http://cloudant.com,https://www.ycombinator.com/companies/cloudant,yc_oss_current,false,publicly_sourced,datahive_cb_url,cloudant,https://www.crunchbase.com/organization/cloudant,,url_collision,1,false,false,false,true,false,false,false,false,false,false,284;341,,,,,
341,Eivod,eivod,Summer 2007,Inactive,http://eivod.com,https://www.ycombinator.com/companies/eivod,yc_oss_current,false,publicly_sourced,datahive_cb_url,cloudant,https://www.crunchbase.com/organization/cloudant,,url_collision,1,false,false,false,true,false,false,false,false,false,false,284;341,,,,,
1973,FameGame,famegame,Summer 2018,Inactive,https://itunes.apple.com/us/app/famegame-become-a-star/id1343049421?mt=8,https://www.ycombinator.com/companies/famegame,yc_oss_current,false,publicly_sourced,datahive_cb_url,taxi-fares-app,https://www.crunchbase.com/organization/taxi-fares-app,,url_collision,1,false,false,false,true,false,false,false,false,false,false,1725;1973,,,,,
12723,Lokal,lokal,Summer 2019,Active,https://www.getlokalapp.com,https://www.ycombinator.com/companies/lokal,yc_oss_current,false,publicly_sourced,datahive_cb_url,lokal,https://www.crunchbase.com/organization/lokal,,url_collision,1,false,false,false,true,false,false,false,false,false,false,12723;27271,,,,,
27271,Lokal,,S19,Active,https://www.getlokalapp.com,,radema_historical,true,unverified_candidate,company_name_inference,lokal,https://www.crunchbase.com/organization/lokal,,unverified_candidate;url_collision;historical_only,3,true,false,false,true,false,true,false,false,false,false,12723;27271,,,,,
30602,Meteor,meteor,Summer 2025,Active,https://browse.dev,https://www.ycombinator.com/companies/meteor,yc_oss_current,false,unverified_candidate,yc_slug_inference,meteor,https://www.crunchbase.com/organization/meteor,,unverified_candidate;url_collision,2,true,false,false,true,false,false,false,false,false,false,30602;72,,,,,
1725,Precious,precious,Winter 2018,Active,https://preciousapp.com/,https://www.ycombinator.com/companies/precious,yc_oss_current,false,publicly_sourced,datahive_cb_url,taxi-fares-app,https://www.crunchbase.com/organization/taxi-fares-app,,url_collision,1,false,false,false,true,false,false,false,false,false,false,1725;1973,,,,,
21,Tap to Learn,tap-to-learn,Winter 2012,Inactive,http://taptolearn.com,https://www.ycombinator.com/companies/tap-to-learn,yc_oss_current,false,publicly_sourced,datahive_cb_url,taptolearn,https://www.crunchbase.com/organization/taptolearn,,url_collision,1,false,false,false,true,false,false,false,false,false,false,1362;21,,,,,
1362,TapToLearn,,IK12,Active,https://www.taptolearn.com,,radema_historical,true,publicly_sourced,radema_cb_url,taptolearn,https://www.crunchbase.com/organization/taptolearn,,url_collision;historical_only,2,false,false,false,true,false,true,false,false,false,false,1362;21,,,,,
24603,Zuma,resident-boost,Summer 2021,Active,https://www.getzuma.com/,https://www.ycombinator.com/companies/resident-boost,yc_oss_current,false,publicly_sourced,datahive_cb_url,astro,https://www.crunchbase.com/organization/astro,,url_collision,1,false,false,false,true,false,false,false,false,false,false,24603;30202,,,,,
