sample_order,yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value,risk_categories,risk_count,risk_unverified_candidate,risk_archive_observed_candidate,risk_source_conflict,risk_url_collision,risk_invalid_source_value,risk_historical_only,risk_invalid_company_website,risk_slug_only_source,risk_sample_validation_failed,risk_sample_validation_unresolved,collision_yc_ids,conflict_datahive_url,conflict_radema_url,manual_validation_status,validated_crunchbase_url,manual_validation_note,validation_status,corrected_crunchbase_url,evidence_url_1,evidence_url_2,validation_note
1,31210,Mendral,mendral,Winter 2026,Inactive,https://mendral.com/,https://www.ycombinator.com/companies/mendral,yc_oss_current,false,unverified_candidate,yc_slug_inference,mendral,https://www.crunchbase.com/organization/mendral,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,correct,,https://www.crunchbase.com/organization/mendral,https://www.ycombinator.com/companies/mendral,Candidate profile lists the exact registrable domain mendral.com and the Mendral identity.
2,23074,ZOKO,zoko,Winter 2021,Active,https://www.zoko.io/,https://www.ycombinator.com/companies/zoko,yc_oss_current,false,unverified_candidate,yc_slug_inference,zoko,https://www.crunchbase.com/organization/zoko,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,correct,,https://www.crunchbase.com/organization/zoko,https://www.ycombinator.com/companies/zoko,Candidate profile lists the exact registrable domain zoko.io and describes the same WhatsApp commerce business.
3,447,Coco Controller,coco-controller,Summer 2012,Inactive,http://milkshakelabs.com,https://www.ycombinator.com/companies/coco-controller,yc_oss_current,false,unverified_candidate,yc_slug_inference,coco-controller,https://www.crunchbase.com/organization/coco-controller,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,unresolved,,https://www.ycombinator.com/companies/coco-controller,https://www.seed-db.com/companies/view?companyid=151002,"YC and Seed-DB establish the company identity, but the proposed Crunchbase URL could not be publicly fetched or indexed and Seed-DB reports no Crunchbase link."
4,29788,Refactor,refactor,Summer 2024,Active,https://refactor.co,https://www.ycombinator.com/companies/refactor,yc_oss_current,false,unverified_candidate,yc_slug_inference,refactor,https://www.crunchbase.com/organization/refactor,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,wrong,,https://www.crunchbase.com/organization/refactor,https://www.ycombinator.com/companies/refactor,"Proposed profile is an Australian development consultancy at refactor.com.au, not the YC company at refactor.co."
5,225,Answerly,answerly,Winter 2010,Inactive,http://answerly.com,https://www.ycombinator.com/companies/answerly,yc_oss_current,false,unverified_candidate,yc_slug_inference,answerly,https://www.crunchbase.com/organization/answerly,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,correct,,https://www.crunchbase.com/organization/answerly,https://www.ycombinator.com/companies/answerly,Candidate resolves to InboxQ and explicitly lists Answerly as an alias; founders Joe Fahrner and Jason Konrad and the Twitter-question product match YC.
6,30433,The Robot Learning Company,the-robot-learning-company,Spring 2025,Active,https://www.robot-learning.co/,https://www.ycombinator.com/companies/the-robot-learning-company,yc_oss_current,false,unverified_candidate,yc_slug_inference,the-robot-learning-company,https://www.crunchbase.com/organization/the-robot-learning-company,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,correct,,https://www.crunchbase.com/organization/the-robot-learning-company,https://www.ycombinator.com/companies/the-robot-learning-company,Candidate profile lists the exact registrable domain robot-learning.co and Y Combinator as an investor.
7,1899,Dinesafe,dinesafe,Summer 2018,Active,https://dinesafe.org,https://www.ycombinator.com/companies/dinesafe,yc_oss_current,false,unverified_candidate,yc_slug_inference,dinesafe,https://www.crunchbase.com/organization/dinesafe,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,wrong,https://www.crunchbase.com/organization/dinesafe-org,https://www.crunchbase.com/organization/dinesafe-org,https://www.ycombinator.com/companies/dinesafe,"The verified profile is dinesafe-org, which lists exact domain dinesafe.org, founder Patrick Quade, and Y Combinator; the proposed slug did not resolve publicly."
8,30930,Cortex AI,cortex-ai,Fall 2025,Active,https://cortexrobot.ai/,https://www.ycombinator.com/companies/cortex-ai,yc_oss_current,false,unverified_candidate,yc_slug_inference,cortex-ai,https://www.crunchbase.com/organization/cortex-ai,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,correct,,https://www.crunchbase.com/organization/cortex-ai,https://www.ycombinator.com/companies/cortex-ai,Candidate profile lists exact domain cortexrobot.ai and the same robotics company.
9,31262,Talking Computers,talking-computers,Winter 2026,Active,https://talkingcomputers.ai,https://www.ycombinator.com/companies/talking-computers,yc_oss_current,false,unverified_candidate,yc_slug_inference,talking-computers,https://www.crunchbase.com/organization/talking-computers,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,correct,,https://www.crunchbase.com/organization/talking-computers,https://www.ycombinator.com/companies/talking-computers,Candidate profile lists exact domain talkingcomputers.ai and Y Combinator as an investor.
10,30022,Symphony,symphony,Fall 2024,Active,https://getsymphony.co,https://www.ycombinator.com/companies/symphony,yc_oss_current,false,unverified_candidate,yc_slug_inference,symphony,https://www.crunchbase.com/organization/symphony,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,wrong,,https://www.crunchbase.com/organization/symphony,https://www.ycombinator.com/companies/symphony,"Proposed profile is a closed Palo Alto social-media tool at symphonytools.com, not the YC company at getsymphony.co."
