sample_order,yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value,risk_categories,risk_count,risk_unverified_candidate,risk_archive_observed_candidate,risk_source_conflict,risk_url_collision,risk_invalid_source_value,risk_historical_only,risk_invalid_company_website,risk_slug_only_source,risk_sample_validation_failed,risk_sample_validation_unresolved,collision_yc_ids,conflict_datahive_url,conflict_radema_url,manual_validation_status,validated_crunchbase_url,manual_validation_note,validation_status,corrected_crunchbase_url,evidence_url_1,evidence_url_2,validation_note
1,31210,Mendral,mendral,Winter 2026,Inactive,https://mendral.com/,https://www.ycombinator.com/companies/mendral,yc_oss_current,false,unverified_candidate,yc_slug_inference,mendral,https://www.crunchbase.com/organization/mendral,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
2,23074,ZOKO,zoko,Winter 2021,Active,https://www.zoko.io/,https://www.ycombinator.com/companies/zoko,yc_oss_current,false,unverified_candidate,yc_slug_inference,zoko,https://www.crunchbase.com/organization/zoko,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
3,447,Coco Controller,coco-controller,Summer 2012,Inactive,http://milkshakelabs.com,https://www.ycombinator.com/companies/coco-controller,yc_oss_current,false,unverified_candidate,yc_slug_inference,coco-controller,https://www.crunchbase.com/organization/coco-controller,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
4,29788,Refactor,refactor,Summer 2024,Active,https://refactor.co,https://www.ycombinator.com/companies/refactor,yc_oss_current,false,unverified_candidate,yc_slug_inference,refactor,https://www.crunchbase.com/organization/refactor,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
5,225,Answerly,answerly,Winter 2010,Inactive,http://answerly.com,https://www.ycombinator.com/companies/answerly,yc_oss_current,false,unverified_candidate,yc_slug_inference,answerly,https://www.crunchbase.com/organization/answerly,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
6,30433,The Robot Learning Company,the-robot-learning-company,Spring 2025,Active,https://www.robot-learning.co/,https://www.ycombinator.com/companies/the-robot-learning-company,yc_oss_current,false,unverified_candidate,yc_slug_inference,the-robot-learning-company,https://www.crunchbase.com/organization/the-robot-learning-company,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
7,1899,Dinesafe,dinesafe,Summer 2018,Active,https://dinesafe.org,https://www.ycombinator.com/companies/dinesafe,yc_oss_current,false,unverified_candidate,yc_slug_inference,dinesafe,https://www.crunchbase.com/organization/dinesafe,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
8,30930,Cortex AI,cortex-ai,Fall 2025,Active,https://cortexrobot.ai/,https://www.ycombinator.com/companies/cortex-ai,yc_oss_current,false,unverified_candidate,yc_slug_inference,cortex-ai,https://www.crunchbase.com/organization/cortex-ai,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
9,31262,Talking Computers,talking-computers,Winter 2026,Active,https://talkingcomputers.ai,https://www.ycombinator.com/companies/talking-computers,yc_oss_current,false,unverified_candidate,yc_slug_inference,talking-computers,https://www.crunchbase.com/organization/talking-computers,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
10,30022,Symphony,symphony,Fall 2024,Active,https://getsymphony.co,https://www.ycombinator.com/companies/symphony,yc_oss_current,false,unverified_candidate,yc_slug_inference,symphony,https://www.crunchbase.com/organization/symphony,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
11,1483,Entry,entry,Winter 2017,Inactive,http://getentry.com,https://www.ycombinator.com/companies/entry,yc_oss_current,false,unverified_candidate,yc_slug_inference,entry,https://www.crunchbase.com/organization/entry,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
12,32162,Studio,studio,Summer 2026,Active,https://trystudio.ai,https://www.ycombinator.com/companies/studio,yc_oss_current,false,unverified_candidate,yc_slug_inference,studio,https://www.crunchbase.com/organization/studio,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
13,25981,Arpari,arpari,Winter 2022,Active,https://www.arpari.com,https://www.ycombinator.com/companies/arpari,yc_oss_current,false,unverified_candidate,yc_slug_inference,arpari,https://www.crunchbase.com/organization/arpari,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
14,31041,Ploy,ploy,Spring 2026,Active,https://ploy.ai,https://www.ycombinator.com/companies/ploy,yc_oss_current,false,unverified_candidate,yc_slug_inference,ploy,https://www.crunchbase.com/organization/ploy,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
15,29790,YouShift,youshift,Winter 2025,Active,https://www.you-shift.com/,https://www.ycombinator.com/companies/youshift,yc_oss_current,false,unverified_candidate,yc_slug_inference,youshift,https://www.crunchbase.com/organization/youshift,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
16,30479,Crimson,crimson,Spring 2025,Active,https://crimson.law,https://www.ycombinator.com/companies/crimson,yc_oss_current,false,unverified_candidate,yc_slug_inference,crimson,https://www.crunchbase.com/organization/crimson,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
17,31300,Shofo,shofo,Winter 2026,Active,https://shofo.ai/,https://www.ycombinator.com/companies/shofo,yc_oss_current,false,unverified_candidate,yc_slug_inference,shofo,https://www.crunchbase.com/organization/shofo,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
18,31301,OpenVector,openvector,Summer 2026,Active,https://openvector.com,https://www.ycombinator.com/companies/openvector,yc_oss_current,false,unverified_candidate,yc_slug_inference,openvector,https://www.crunchbase.com/organization/openvector,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
19,31243,Foreman,foreman,Winter 2026,Active,https://foreman.co,https://www.ycombinator.com/companies/foreman,yc_oss_current,false,unverified_candidate,yc_slug_inference,foreman,https://www.crunchbase.com/organization/foreman,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
20,23261,Morada Uno,morada-uno,Winter 2021,Active,http://www.moradauno.com.mx,https://www.ycombinator.com/companies/morada-uno,yc_oss_current,false,unverified_candidate,yc_slug_inference,morada-uno,https://www.crunchbase.com/organization/morada-uno,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
21,30747,Convexia,convexia,Summer 2025,Active,https://convexia.bio,https://www.ycombinator.com/companies/convexia,yc_oss_current,false,unverified_candidate,yc_slug_inference,convexia,https://www.crunchbase.com/organization/convexia,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
22,29444,Vista Power,vista-power,Winter 2024,Active,https://vistapower.com,https://www.ycombinator.com/companies/vista-power,yc_oss_current,false,unverified_candidate,yc_slug_inference,vista-power,https://www.crunchbase.com/organization/vista-power,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
23,30319,Corsair,corsair,Winter 2025,Active,https://www.corsair.dev,https://www.ycombinator.com/companies/corsair,yc_oss_current,false,unverified_candidate,yc_slug_inference,corsair,https://www.crunchbase.com/organization/corsair,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
24,29308,atopile,atopile,Winter 2024,Active,http://atopile.io,https://www.ycombinator.com/companies/atopile,yc_oss_current,false,unverified_candidate,yc_slug_inference,atopile,https://www.crunchbase.com/organization/atopile,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
25,30730,idler,idler,Summer 2025,Active,https://idler.ai/,https://www.ycombinator.com/companies/idler,yc_oss_current,false,unverified_candidate,yc_slug_inference,idler,https://www.crunchbase.com/organization/idler,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
26,25400,Industrial Next,industrial-next,Winter 2022,Active,https://www.industrialnext.ai,https://www.ycombinator.com/companies/industrial-next,yc_oss_current,false,unverified_candidate,yc_slug_inference,industrial-next,https://www.crunchbase.com/organization/industrial-next,,unverified_candidate,1,true,false,false,false,false,false,false,false,false,false,,,,,,,,,,,
