"company","batch","yc_url"
"Aidy","W24","https://www.ycombinator.com/companies/aidy"
"Artos","W24","https://www.ycombinator.com/companies/artos"
"Astro Mechanica","W24","https://www.ycombinator.com/companies/astro-mechanica"
"atopile","W24","https://www.ycombinator.com/companies/atopile"
"BiteSight","W24","https://www.ycombinator.com/companies/bitesight"
"Blacksmith","W24","https://www.ycombinator.com/companies/blacksmith"
"Celest","W24","https://www.ycombinator.com/companies/celest"
"Centauri AI","W24","https://www.ycombinator.com/companies/centauri-ai"
"Cleva","W24","https://www.ycombinator.com/companies/cleva"
"CloudCruise","W24","https://www.ycombinator.com/companies/cloudcruise"
"CoCrafter","W24","https://www.ycombinator.com/companies/cocrafter"
"Consul","W24","https://www.ycombinator.com/companies/consul"
"CrowdVolt","W24","https://www.ycombinator.com/companies/crowdvolt"
"Datacurve","W24","https://www.ycombinator.com/companies/datacurve"
"DGI Apparel","W24","https://www.ycombinator.com/companies/dgi-apparel"
"Dime","W24","https://www.ycombinator.com/companies/dime-2"
"Driver","W24","https://www.ycombinator.com/companies/driver"
"Dropback","W24","https://www.ycombinator.com/companies/dropback"
"Elodin","W24","https://www.ycombinator.com/companies/elodin"
"Engines","W24","https://www.ycombinator.com/companies/engines"
"Eris Biotech","W24","https://www.ycombinator.com/companies/eris-biotech"
"Fileforge","W24","https://www.ycombinator.com/companies/fileforge"
"floatingpoint","W24","https://www.ycombinator.com/companies/floatingpoint"
"Fractal Labs","W24","https://www.ycombinator.com/companies/fractal-labs"
"Garage","W24","https://www.ycombinator.com/companies/garage-2"
"Givefront","W24","https://www.ycombinator.com/companies/givefront"
"GovernGPT","W24","https://www.ycombinator.com/companies/governgpt"
"Granza Bio","W24","https://www.ycombinator.com/companies/granza-bio"
"Gumloop","W24","https://www.ycombinator.com/companies/gumloop"
"Haplotype Labs","W24","https://www.ycombinator.com/companies/haplotype-labs"
"Hatchet","W24","https://www.ycombinator.com/companies/hatchet-run"
"Healia","W24","https://www.ycombinator.com/companies/healia"
"Indemni","W24","https://www.ycombinator.com/companies/indemni"
"Infinity","W24","https://www.ycombinator.com/companies/infinity"
"Junction Bioscience","W24","https://www.ycombinator.com/companies/junction-bioscience"
"Lucite","W24","https://www.ycombinator.com/companies/lucite"
"Maia","W24","https://www.ycombinator.com/companies/maia"
"malibou","W24","https://www.ycombinator.com/companies/malibou"
"Metofico","W24","https://www.ycombinator.com/companies/metofico"
"Miden","W24","https://www.ycombinator.com/companies/miden"
"Newton","W24","https://www.ycombinator.com/companies/newton"
"OddsView","W24","https://www.ycombinator.com/companies/oddsview"
"Oma Care","W24","https://www.ycombinator.com/companies/oma-care"
"Paradigm","W24","https://www.ycombinator.com/companies/paradigm"
"ParcelBio","W24","https://www.ycombinator.com/companies/parcelbio"
"PartnerHQ","W24","https://www.ycombinator.com/companies/partnerhq"
"Piramidal","W24","https://www.ycombinator.com/companies/piramidal"
"Polar","W24","https://www.ycombinator.com/companies/polar"
"Quivr","W24","https://www.ycombinator.com/companies/quivr"
"Relari","W24","https://www.ycombinator.com/companies/relari"
"renderlet","W24","https://www.ycombinator.com/companies/renderlet"
"Sample","W24","https://www.ycombinator.com/companies/sample"
"Scout","W24","https://www.ycombinator.com/companies/cpgscout"
"Selera Medical","W24","https://www.ycombinator.com/companies/selera-medical"
"Sonauto","W24","https://www.ycombinator.com/companies/sonauto"
"Stacksync","W24","https://www.ycombinator.com/companies/stacksync"
"Stitch Technologies","W24","https://www.ycombinator.com/companies/stitch-technologies"
"SuretyNow","W24","https://www.ycombinator.com/companies/suretynow"
"SynsoryBio","W24","https://www.ycombinator.com/companies/synsorybio"
"Tesseral","W24","https://www.ycombinator.com/companies/tesseral"
"The New Money Company","W24","https://www.ycombinator.com/companies/the-new-money-company"
"Triply","W24","https://www.ycombinator.com/companies/triply"
"Velorum Therapeutics","W24","https://www.ycombinator.com/companies/velorum-therapeutics"
"Verse Therapy","W24","https://www.ycombinator.com/companies/verse-therapy"
"Vista Power","W24","https://www.ycombinator.com/companies/vista-power"
"Voicepanel","W24","https://www.ycombinator.com/companies/voicepanel"
"Wuri","W24","https://www.ycombinator.com/companies/wuri"
"xPay","W24","https://www.ycombinator.com/companies/xpay"
"Yenmo","W24","https://www.ycombinator.com/companies/yenmo"
"Yoneda Labs","W24","https://www.ycombinator.com/companies/yoneda-labs"
"Zaymo","W24","https://www.ycombinator.com/companies/zaymo"
"&AI","S24","https://www.ycombinator.com/companies/ai-2"
"1849 bio","S24","https://www.ycombinator.com/companies/1849-bio"
"Abel Police","S24","https://www.ycombinator.com/companies/abel-police"
"ACX","S24","https://www.ycombinator.com/companies/acx"
"Ares Industries","S24","https://www.ycombinator.com/companies/ares-industries"
"Autumn Labs","S24","https://www.ycombinator.com/companies/autumn-labs"
"Azalea Robotics Corporation","S24","https://www.ycombinator.com/companies/azalea-robotics-corporation"
"BeeBettor","S24","https://www.ycombinator.com/companies/beebettor"
"Biocartesian","S24","https://www.ycombinator.com/companies/biocartesian"
"Bits to Atoms","S24","https://www.ycombinator.com/companies/bits-to-atoms"
"Blaze","S24","https://www.ycombinator.com/companies/blaze-2"
"bluedoor","S24","https://www.ycombinator.com/companies/bluedoor"
"Cerulion","S24","https://www.ycombinator.com/companies/cerulion"
"ClaimSorted","S24","https://www.ycombinator.com/companies/claimsorted"
"Comfy Deploy","S24","https://www.ycombinator.com/companies/comfy-deploy"
